Artist,Song,Streams,Genre
Surfaces,Alone,"2,075,121",
Surfaces,Kid Kingdoms,"1,706,632",
Surfaces,Loving,"15,996,463",
Surfaces,Falling,"5,472,787",
Surfaces,Be Alright,"5,599,227",
Surfaces,Sheesh!,"875,388",
Powfu,So Long,"164,267",
Powfu,make you mine (feat. Powfu),"4,664,596",
Powfu,Won't Be the Last Time,"361,118",
Powfu,the day i died,"4,639,566",
Powfu,don't fall asleep yet,"6,432,395",
Powfu,Are You Okay?,"6,420,278",
Powfu,Betrayal,"583,040",
Powfu,Laying on my porch while we watch the world end.,"14,275,553",
Powfu,Homicide,"3,087,345",
Powfu,You Left Me Alone with My Nightmares,"500,083",
Powfu,Hide in Your Blue Eyes,"2,554,363",
Powfu,We Need a Break,"131,091",
Powfu,about you,"2,135,122",
Powfu,Fall in Love,"321,155",
Powfu,Hear my thoughts,"6,580,364",
Powfu,when things were awkward,"3,005,640",
Powfu,step into my life,"10,125,654",
Powfu,Dead Eyes,"48,097,779",
Powfu,Letters in December,"4,634,332",
Powfu,when we were 16,"8,453,534",
Powfu,Cold,"46,458",
Powfu,tell me when you change,"3,727,194",
Powfu,Mindurmanners,"5,150,059",
Powfu,All Again,"3,072,471",
Powfu,I Can See the Light,"108,054",
Powfu,Koolaid Summers,"2,316,431",
Powfu,Chocolate Milk,"124,492",
Powfu,Break Ups Suck Ass,"7,274,690",
Powfu,Would Look Perfect,"23,179,946",
Powfu,I Love U Dad,"2,191,958",
Powfu,Calling,"117,304",
Powfu,"Different Class, Same Boat","5,322,233",
Powfu,Separate from You,"812,242",
Powfu,Bored Without You,"449,642",
Powfu,"Long Fights, Short Tempers","2,535,948",
Powfu,Letter to the Rich,"242,440",
Powfu,Imagine You,"477,352",
Powfu,Way Too Far,"39,072",
Powfu,Thoughts,"251,641",
Powfu,All My Friends,"400,684",
Powfu,Patient,"54,059",
Powfu,I Miss the Old You,"2,088,711",
Powfu,Feel Inside,"29,720",
Powfu,What This Means,"2,042,271",
Powfu,Met at a Party,"2,245,982",
Powfu,I Won't Let U Down,"1,488,962",
Powfu,My Mind,"89,467",
Powfu,Her Ocean Eyes,"2,570,334",
Powfu,Innocence,"192,871",
Powfu,Good for Nothing,"2,360,205",
Powfu,death bed (coffee for your head),"874,031,080",
Powfu,Blue Waves,"2,667,180",
Powfu,To Be With You,"152,289",
Powfu,Phases,"202,994",
Powfu,Mislead,"118,483",
Powfu,Feel That Again,"3,503,281",
Powfu,Running Through the Rain,"2,273,408",
Powfu,Like Autumn,"136,278",
Powfu,Life Is Changing,"3,054,055",
Powfu,Nothing Matters,"2,499,963",
Powfu,I Can't Sleep,"32,554,152",
Powfu,The Story of the Paper Boy,"3,505,836",
Powfu,In a Bit,"1,633,279",
Powfu,Lovemark,"21,465,773",
Powfu,You Melt Away the Snow,"585,580",
Powfu,Scars on My Heart,"8,281,494",
Powfu,Breakfast With the Moon,"10,729,923",
Powfu,I Know You're Not Happy,"4,268,907",
Powfu,Sorry I Never Apologized,"7,136,637",
Powfu,Douchebags,"2,008,941",
Powfu,Sleepless Nights,"379,243",
Powfu,Days We Had,"5,273,241",
Powfu,I See Your Ghost When I'm Alone,"1,556,844",
Powfu,Grade 4 Crush,"608,138",
Powfu,I Could Never Be Loved,"20,708,632",
Powfu,Ghost in Town,"2,106,377",
Powfu,Feel It All,"2,373,816",
Powfu,Another Love Song,"821,596",
Powfu,Ray Gun,"558,577",
Powfu,Breathe In,"174,106",
Powfu,Friends,"31,253",
Beach Bunny,Prom Queen,"170,840,941",
Beach Bunny,Adulting,"2,643,923",
Beach Bunny,Goodbye Summer :(,"1,671,372",
Beach Bunny,Painkiller,"25,871,947",
Beach Bunny,Sports,"70,537,067",
Beach Bunny,Boys,"8,155,610",
Beach Bunny,February,"7,204,709",
Beach Bunny,Jenny,"3,683,791",
Beach Bunny,Intro,"623,375",
Beach Bunny,Ghost,"1,645,384",
Beach Bunny,July,"2,239,312",
Beach Bunny,Deja Vu,"1,248,059",
Beach Bunny,Waves,"1,533,216",
Beach Bunny,Greetings from California,"1,166,772",
Beach Bunny,Shoegazer,"1,723,702",
