Artist,Song,Streams,Genre,Class
Tom Misch,Euphoric,354181,,0.303493652232105
Tom Misch,Marrakech,1732816,,1.0178890984980637
Tom Misch,Climbing,415108,,0.3749156272834431
Tom Misch,Windmills of Your Mind,420129,,0.38032549805660243
Tom Misch,Deeper,382351,,0.3379292913829519
Tom Misch,Cruisin',404167,,0.36289701631361315
Tom Misch,Dilla Love,535171,,0.48922619212760265
Tom Misch,Epiphany,426106,,0.386681743672294
Tom Misch,Can't Explain It,351068,,0.29952136692769393
Tom Misch,Wicked Games (feat. Anna Naklab) - Tom Misch Remix,1541203,,0.9651609769217273
Boy Pablo,Losing You,39722916,,2.5004217937490187
Boy Pablo,Ready / Problems,12711522,,1.5
Boy Pablo,Everytime,72722525,,2.010458219220192
Boy Pablo,"Dance, Baby!",69907389,,2.996710975010828
Boy Pablo,Yeah (Fantasizing),7740138,,1.0644285861923237
Boy Pablo,imreallytiredthisdaysucks,8648884,,1.1618971665187603
Boy Pablo,ur phone,12192341,,1.4633862250947145
Boy Pablo,Beach House,14327932,,1.605099646658971
Boy Pablo,Flowers,8393721,,1.1356039531551942
Yellow Days,The Way Things Change,24345224,,2.5468135079387357
Yellow Days,A Smiling Face,1567949,,0.9049048114671585
Yellow Days,I've Been Thinking Too Hard,6985341,,1.7993535585622786
Yellow Days,Outro (Lost in a World with You),1219384,,0.754384269537314
Yellow Days,Weight of the World,1275178,,0.7811689877741356
Yellow Days,Tired,1787381,,0.9833211496652312
Yellow Days,A Bag of Dutch,2172442,,1.1001230419186043
Yellow Days,The Tree I Climb,2271630,,1.1268513692574111
Yellow Days,Lately I (feat. Rejjie Snow),2833990,,1.259271237165541
Yellow Days,Nothing's Going to Keep Me Down,8458179,,1.9138922794760713
Yellow Days,Holding On,3960501,,1.4596389860647572
Yellow Days,I Believe in Love,4623353,,1.5522838667877568
Yellow Days,Hurt in Love,4532188,,1.540361013935242
Yellow Days,That Easy,12235388,,2.1349225205992224
Yellow Days,Go Home,4921076,,1.5896454321512241
Yellow Days,A Little While,43597972,,2.8956469675070413
Yellow Days,Intro,178954,,0.0
Yellow Days,Outro (Baked in the Sunshine),3667433,,1.4136136478963772
Yellow Days,People,6326128,,1.740009544452391
Yellow Days,Interlude (It's Alright),1985162,,1.0461516191780753
Yellow Days,Gap in the Clouds,37545935,,2.8061775332349006
Yellow Days,Your Hand Holding Mine,23398568,,2.5230695022435032
Gus Dapperton,I'm Just Snacking,45775984,,1.6270503259248996
Gus Dapperton,Ditch,23553627,,1.5
Gus Dapperton,"Moodna, Once With Grace",24562965,,1.5080228651364138
Gus Dapperton,Faceless,7225107,,1.2740523803850512
Gus Dapperton,Pumped Up Kicks - Gus Dapperton Version,1291,,0.0
Crumb,Thirty-Nine,4148042,,0.2238999327660871
Crumb,Recently Played,12171552,,1.3773394117864648
Crumb,Locket,42982320,,2.729246106588545
Crumb,Plants,24033823,,2.106350534493646
Crumb,So Tired,13647772,,1.5
Crumb,Bones,27236607,,2.240395806932166
Crumb,Vinta,11952556,,1.3578848359429627
Summer Salt,Time Away from Home - Remastered 2024,8077966,,1.5
Summer Salt,Give My Heart a Little Break,4797374,,0.9188755023278872
Summer Salt,Tidal Waves,6364630,,1.234142415041648
Summer Salt,Sweet to Me,27842578,,2.8800388666704446
Summer Salt,Time Away from Home,6486447,,1.255286228012668
Summer Salt,Driving to Hawaii,29189566,,2.9327286943462214
Summer Salt,Rockaway,9711157,,1.7053567847317521
Benee,Drifting,5185441,,0.9873088548256801
Benee,Blu,6033491,,1.0698825369226201
Benee,notice me (feat. BENEE),6766297,,1.1323715824871434
Benee,Monsta,10460796,,1.3698809314320304
Benee,Find an Island,32884056,,1.9942652981319446
Benee,Kua Kore He Kupu / Soaked,1571569,,0.3365249028066082
Benee,Afterlife,8060693,,1.2277968989182124
Benee,Wishful Thinking,19833142,,1.7186213834072264
Benee,Glitter,99548339,,2.5980988213234637
Benee,Want Me Back,16861083,,1.6301190685679696
Benee,Evil Spider,17987709,,1.6653793628575149
Benee,Supalonely,452154180,,2.14103709120014
Benee,Soaked,53094144,,2.2554329707054848
Benee,Tough Guy,5959586,,1.0631637453437839
Surfaces,This View,14342289,,1.970389774399322
